ds;y
01-10-2021;88.3038
02-10-2021;86.6745
03-10-2021;87.6541
04-10-2021;87.9873
05-10-2021;88.7993
06-10-2021;88.7922
07-10-2021;88.6496
08-10-2021;89.2467
09-10-2021;87.52
10-10-2021;87.5933
11-10-2021;88.8246
12-10-2021;88.9186
13-10-2021;88.8342
14-10-2021;89.3392
15-10-2021;88.7794
16-10-2021;87.5925
17-10-2021;87.6366
18-10-2021;89.2964
19-10-2021;89.4495
20-10-2021;90.0394
21-10-2021;90.1344
22-10-2021;89.2148
23-10-2021;87.0613
24-10-2021;87.2438
25-10-2021;89.2584
26-10-2021;89.211
27-10-2021;89.3608
28-10-2021;89.0008
29-10-2021;88.7155
30-10-2021;88.031
31-10-2021;87.674
01-11-2021;89.2249
02-11-2021;89.9787
03-11-2021;89.7444
04-11-2021;90.1641
05-11-2021;90.1342
06-11-2021;88.758
07-11-2021;88.1774
08-11-2021;89.6457
09-11-2021;89.8294
10-11-2021;89.9119
11-11-2021;90.1815
12-11-2021;89.3264
13-11-2021;87.8849
14-11-2021;88.0355
15-11-2021;89.7387
16-11-2021;89.1556
17-11-2021;89.1258
18-11-2021;89.2107
19-11-2021;88.955
20-11-2021;87.579
21-11-2021;87.859
22-11-2021;88.2503
23-11-2021;87.9017
24-11-2021;89.156
25-11-2021;88.7073
26-11-2021;88.6062
27-11-2021;88.1447
28-11-2021;87.7981
29-11-2021;89.8079
30-11-2021;89.4776
01-12-2021;89.5731
02-12-2021;90.577
03-12-2021;90.9934
04-12-2021;89.0726
05-12-2021;89.6164
06-12-2021;90.3608
07-12-2021;90.8876
08-12-2021;91.0868
09-12-2021;90.8202
10-12-2021;89.6681
11-12-2021;88.3253
12-12-2021;88.5911
13-12-2021;89.8307
14-12-2021;90.8828
15-12-2021;90.6655
16-12-2021;89.7841
17-12-2021;88.9102
18-12-2021;87.1814
19-12-2021;87.1616
20-12-2021;88.7185
21-12-2021;87.0289
22-12-2021;87.5565
23-12-2021;86.2597
24-12-2021;84.1208
25-12-2021;80.5446
26-12-2021;81.7276
27-12-2021;82.8204
28-12-2021;84.5968
29-12-2021;86.2133
30-12-2021;87.0665
31-12-2021;87.1767
01-1-2022;86.9342
02-1-2022;87.2745
03-1-2022;88.241
04-1-2022;89.8349
05-1-2022;89.5976
06-1-2022;89.4961
07-1-2022;88.9349
08-1-2022;87.1198
09-1-2022;87.404
10-1-2022;90.4689
11-1-2022;91.4454
12-1-2022;91.8948
13-1-2022;90.7266
14-1-2022;90.2137
15-1-2022;89.4948
16-1-2022;89.7286
17-1-2022;90.7359
18-1-2022;90.0076
19-1-2022;90.8883
20-1-2022;90.9071
21-1-2022;90.7257
22-1-2022;89.7966
23-1-2022;89.6294
24-1-2022;91.3892
25-1-2022;90.9159
26-1-2022;91.0387
27-1-2022;91.1149
28-1-2022;91.1092
29-1-2022;90.0445
30-1-2022;90.2513
31-1-2022;91.4871
01-02-2022;91.3655
02-02-2022;91.1932
03-02-2022;90.668
04-02-2022;91.5573
05-02-2022;90.207
06-02-2022;90.489
07-02-2022;92.1359
08-02-2022;91.5556
09-02-2022;91.8167
10-02-2022;92.0907
11-02-2022;91.6175
12-02-2022;90.9365
13-02-2022;90.6947
14-02-2022;91.3854
15-2-22;90.979
16-2-22;91.941
17-02-2022;91.1705
18-02-2022;91.4473
19-02-2022;91.2141
20-02-2022;91.6214
21-02-2022;92.3003
22-02-2022;92.2678
23-02-2022;92.6486
24-02-2022;91.9556
25-02-2022;92.1252
26-02-2022;90.6076
27-02-2022;91.1592
28-02-2022;92.1651
01-03-2022;92.3796
02-03-2022;92.3367
03-03-2022;92.5062
04-03-2022;92.5609
05-03-2022;91.4975
06-03-2022;91.1306
07-03-2022;91.8553
08-03-2022;92.444
09-03-2022;92.2394
10-03-2022;92.1287
11-03-2022;92.2208
12-03-2022;91.2538
13-03-2022;91.7969
14-03-2022;92.2506
15-03-2022;92.6439
16-03-2022;92.8694
17-03-2022;92.5649
18-03-2022;92.045
19-03-2022;90.5165
20-03-2022;91.3582
21-03-2022;92.0056
22-03-2022;91.7463
23-03-2022;91.5838
24-03-2022;91.2808
25-03-2022;91.0581
26-03-2022;90.3436
27-03-2022;90.3019
28-03-2022;90.9285
29-03-2022;91.4944
30-03-2022;91.7947
31-03-2022;91.7991
01-04-2022;91.6613
02-04-2022;90.6466
03-04-2022;90.343
04-04-2022;91.6399
05-04-2022;91.8481
06-04-2022;92.0858
07-04-2022;91.7487
08-04-2022;91.9721
09-04-2022;90.913
10-04-2022;91.191
11-04-2022;91.6237
12-04-2022;92.0156
13-04-2022;92.1047
14-04-2022;92.1821
15-04-2022;91.0656
16-04-2022;90.6644
17-04-2022;90.6267
18-04-2022;91.7379
19-04-2022;92.4965
20-04-2022;93.3953
21-04-2022;92.659
22-04-2022;92.531
23-04-2022;91.6009
24-04-2022;91.4735
25-04-2022;92.3292
26-04-2022;91.4559
27-04-2022;92.6701
28-04-2022;92.3605
29-04-2022;92.1465
30-04-2022;90.5904
01-05-2022;90.3521
02-05-2022;91.1828
03-05-2022;92.3036
04-05-2022;92.4177
05-05-2022;92.9316
06-05-2022;92.3838
07-05-2022;92.5351
08-05-2022;92.2827
09-05-2022;92.5204
10-05-2022;92.871
11-05-2022;92.3177
12-05-2022;93.2685
13-05-2022;92.871
14-05-2022;91.5762
15-05-2022;91.9021
16-05-2022;92.6675
17-05-2022;92.7619
18-05-2022;93.493
19-05-2022;93.3355
20-05-2022;93.3621
21-05-2022;91.9421
22-05-2022;91.9348
23-05-2022;93.6563
24-05-2022;92.6792
25-05-2022;93.24
26-05-2022;93.4178
27-05-2022;92.881
28-05-2022;91.4546
29-05-2022;91.2262
30-05-2022;92.2013
31-05-2022;92.2269
01-06-2022;93.0967
02-06-2022;91.3576
03-06-2022;91.3208
04-06-2022;91.6233
05-06-2022;91.325
06-06-2022;92.2288
07-06-2022;92.7376
08-06-2022;93.6093
09-06-2022;93.6307
10-06-2022;93.6047
11-06-2022;93.0413
12-06-2022;92.1607
13-06-2022;93.7735
14-06-2022;94.1665
15-06-2022;94.2175
16-06-2022;93.8193
